,node_loc,technology,year_vtg,year_act,mode,time,value,unit
137,South Africa,coal_extr,1995,1995,M1,year,15,USD/GWa
138,South Africa,coal_extr,2000,2000,M1,year,15,USD/GWa
139,South Africa,coal_extr,2005,2005,M1,year,15,USD/GWa
140,South Africa,coal_extr,2010,2010,M1,year,15,USD/GWa
141,South Africa,coal_extr,2020,2020,M1,year,16.56933188,USD/GWa
142,South Africa,coal_extr,2030,2030,M1,year,18.3028506,USD/GWa
143,South Africa,coal_extr,2040,2040,M1,year,20.21773373,USD/GWa
144,South Africa,coal_extr,2050,2050,M1,year,22.332956,USD/GWa
145,South Africa,coal_extr,2060,2060,M1,year,24.66947733,USD/GWa
146,South Africa,coal_extr,2070,2070,M1,year,27.25045048,USD/GWa
147,South Africa,coal_fs,1990,1990,M1,year,0,USD/GWa
148,South Africa,coal_fs,1995,1995,M1,year,0,USD/GWa
149,South Africa,coal_fs,2000,2000,M1,year,0,USD/GWa
150,South Africa,coal_fs,2005,2005,M1,year,0,USD/GWa
151,South Africa,coal_fs,2010,2010,M1,year,0,USD/GWa
152,South Africa,coal_fs,2020,2020,M1,year,0,USD/GWa
153,South Africa,coal_fs,2030,2030,M1,year,0,USD/GWa
154,South Africa,coal_fs,2040,2040,M1,year,0,USD/GWa
155,South Africa,coal_fs,2050,2050,M1,year,0,USD/GWa
156,South Africa,coal_fs,2060,2060,M1,year,0,USD/GWa
157,South Africa,coal_fs,2070,2070,M1,year,0,USD/GWa
158,South Africa,coal_gas,2010,2010,M1,year,0,USD/GWa
159,South Africa,coal_gas,2010,2020,M1,year,0,USD/GWa
160,South Africa,coal_gas,2010,2030,M1,year,0,USD/GWa
161,South Africa,coal_gas,2020,2020,M1,year,0,USD/GWa
162,South Africa,coal_gas,2020,2030,M1,year,0,USD/GWa
163,South Africa,coal_gas,2020,2040,M1,year,0,USD/GWa
164,South Africa,coal_gas,2030,2030,M1,year,0,USD/GWa
165,South Africa,coal_gas,2030,2040,M1,year,0,USD/GWa
166,South Africa,coal_gas,2030,2050,M1,year,0,USD/GWa
167,South Africa,coal_gas,2040,2040,M1,year,0,USD/GWa
168,South Africa,coal_gas,2040,2050,M1,year,0,USD/GWa
169,South Africa,coal_gas,2040,2060,M1,year,0,USD/GWa
170,South Africa,coal_gas,2050,2050,M1,year,0,USD/GWa
171,South Africa,coal_gas,2050,2060,M1,year,0,USD/GWa
172,South Africa,coal_gas,2050,2070,M1,year,0,USD/GWa
173,South Africa,coal_gas,2060,2060,M1,year,0,USD/GWa
174,South Africa,coal_gas,2060,2070,M1,year,0,USD/GWa
175,South Africa,coal_gas,2070,2070,M1,year,0,USD/GWa
176,South Africa,coal_i,1990,1990,M1,year,0,USD/GWa
177,South Africa,coal_i,1990,1995,M1,year,0,USD/GWa
178,South Africa,coal_i,1990,2000,M1,year,0,USD/GWa
179,South Africa,coal_i,1990,2005,M1,year,0,USD/GWa
180,South Africa,coal_i,1990,2010,M1,year,0,USD/GWa
181,South Africa,coal_i,1995,1995,M1,year,0,USD/GWa
182,South Africa,coal_i,1995,2000,M1,year,0,USD/GWa
183,South Africa,coal_i,1995,2005,M1,year,0,USD/GWa
184,South Africa,coal_i,1995,2010,M1,year,0,USD/GWa
185,South Africa,coal_i,2000,2000,M1,year,0,USD/GWa
186,South Africa,coal_i,2000,2005,M1,year,0,USD/GWa
187,South Africa,coal_i,2000,2010,M1,year,0,USD/GWa
188,South Africa,coal_i,2000,2020,M1,year,0,USD/GWa
189,South Africa,coal_i,2005,2005,M1,year,0,USD/GWa
190,South Africa,coal_i,2005,2010,M1,year,0,USD/GWa
191,South Africa,coal_i,2005,2020,M1,year,0,USD/GWa
192,South Africa,coal_i,2010,2010,M1,year,0,USD/GWa
193,South Africa,coal_i,2010,2020,M1,year,0,USD/GWa
194,South Africa,coal_i,2010,2030,M1,year,0,USD/GWa
195,South Africa,coal_i,2020,2020,M1,year,0,USD/GWa
196,South Africa,coal_i,2020,2030,M1,year,0,USD/GWa
197,South Africa,coal_i,2020,2040,M1,year,0,USD/GWa
198,South Africa,coal_i,2030,2030,M1,year,0,USD/GWa
199,South Africa,coal_i,2030,2040,M1,year,0,USD/GWa
200,South Africa,coal_i,2030,2050,M1,year,0,USD/GWa
201,South Africa,coal_i,2040,2040,M1,year,0,USD/GWa
202,South Africa,coal_i,2040,2050,M1,year,0,USD/GWa
203,South Africa,coal_i,2040,2060,M1,year,0,USD/GWa
204,South Africa,coal_i,2050,2050,M1,year,0,USD/GWa
205,South Africa,coal_i,2050,2060,M1,year,0,USD/GWa
206,South Africa,coal_i,2050,2070,M1,year,0,USD/GWa
207,South Africa,coal_i,2060,2060,M1,year,0,USD/GWa
208,South Africa,coal_i,2060,2070,M1,year,0,USD/GWa
209,South Africa,coal_i,2070,2070,M1,year,0,USD/GWa
210,South Africa,coal_imp,2020,2020,M1,year,130.6818499,???
211,South Africa,coal_imp,2030,2030,M1,year,127.8279758,???
212,South Africa,coal_imp,2040,2040,M1,year,145.2745753,???
213,South Africa,coal_imp,2050,2050,M1,year,150.9981452,???
214,South Africa,coal_imp,2060,2060,M1,year,156.7217204,???
215,South Africa,coal_imp,2070,2070,M1,year,162.4452823,???
216,South Africa,coal_ppl,1995,1995,M1,year,0,USD/GWa
217,South Africa,coal_ppl,1995,2000,M1,year,0,USD/GWa
218,South Africa,coal_ppl,1995,2005,M1,year,0,USD/GWa
219,South Africa,coal_ppl,1995,2010,M1,year,0,USD/GWa
220,South Africa,coal_ppl,1995,2020,M1,year,0,USD/GWa
221,South Africa,coal_ppl,2000,2000,M1,year,0,USD/GWa
222,South Africa,coal_ppl,2000,2005,M1,year,0,USD/GWa
223,South Africa,coal_ppl,2000,2010,M1,year,0,USD/GWa
224,South Africa,coal_ppl,2000,2020,M1,year,0,USD/GWa
225,South Africa,coal_ppl,2005,2005,M1,year,0,USD/GWa
226,South Africa,coal_ppl,2005,2010,M1,year,0,USD/GWa
227,South Africa,coal_ppl,2005,2020,M1,year,0,USD/GWa
