,node_loc,technology,year_vtg,lvl,mrg
72,Norway,coal_adv,2055,0.0,0.0
73,Norway,coal_adv,2060,0.0,0.0
74,Norway,coal_adv,2065,20.0,0.0
75,Norway,coal_adv,2070,0.0,0.0
76,Norway,coal_adv_ccs,2020,0.0,0.0
77,Norway,coal_adv_ccs,2025,0.0,0.0
78,Norway,coal_adv_ccs,2030,0.0,0.0
79,Norway,coal_adv_ccs,2035,0.0,0.0
80,Norway,coal_adv_ccs,2040,0.0,0.0
81,Norway,coal_adv_ccs,2045,0.0,0.0
82,Norway,coal_adv_ccs,2050,0.0,0.0
83,Norway,coal_adv_ccs,2055,0.0,0.0
84,Norway,coal_adv_ccs,2060,0.0,0.0
85,Norway,coal_adv_ccs,2065,0.0,0.0
86,Norway,coal_adv_ccs,2070,20.0,0.0
87,Norway,coal_ppl,1985,0.0,0.0
88,Norway,coal_ppl,1990,0.0,0.0
89,Norway,coal_ppl,1995,0.0,0.0
90,Norway,coal_ppl,2000,0.0,0.0
91,Norway,coal_ppl,2005,0.0,0.0
92,Norway,coal_ppl,2010,0.0,0.0
93,Norway,coal_ppl,2015,0.0,0.0
94,Norway,coal_ppl,2020,0.0,0.0
95,Norway,coal_ppl,2025,0.0,0.0
96,Norway,coal_ppl,2030,0.0,0.0
97,Norway,coal_ppl,2035,0.0,0.0
98,Norway,coal_ppl,2040,0.0,0.0
99,Norway,coal_ppl,2045,0.0,0.0
100,Norway,coal_ppl,2050,0.0,0.0
101,Norway,coal_ppl,2055,0.0,0.0
102,Norway,coal_ppl,2060,0.0,0.0
103,Norway,coal_ppl,2065,0.0,0.0
104,Norway,coal_ppl,2070,20.0,0.0
105,Norway,igcc,2010,0.0,0.0
106,Norway,igcc,2015,0.0,0.0
107,Norway,igcc,2020,0.0,0.0
108,Norway,igcc,2025,0.0,0.0
109,Norway,igcc,2030,0.0,0.0
110,Norway,igcc,2035,0.0,0.0
111,Norway,igcc,2040,0.0,0.0
112,Norway,igcc,2045,0.0,0.0
113,Norway,igcc,2050,0.0,0.0
114,Norway,igcc,2055,0.0,0.0
115,Norway,igcc,2060,0.0,0.0
116,Norway,igcc,2065,20.0,0.0
117,Norway,igcc,2070,0.0,0.0
118,Norway,igcc_ccs,2020,0.0,0.0
119,Norway,igcc_ccs,2025,0.0,0.0
120,Norway,igcc_ccs,2030,0.0,0.0
121,Norway,igcc_ccs,2035,0.0,0.0
122,Norway,igcc_ccs,2040,0.0,0.0
123,Norway,igcc_ccs,2045,0.0,0.0
124,Norway,igcc_ccs,2050,0.0,0.0
125,Norway,igcc_ccs,2055,0.0,0.0
126,Norway,igcc_ccs,2060,0.0,0.0
127,Norway,igcc_ccs,2065,0.0,0.0
128,Norway,igcc_ccs,2070,20.0,0.0
129,Norway,coal_i,1990,0.0,0.0
130,Norway,coal_i,1995,0.0,0.0
131,Norway,coal_i,2000,0.0,0.0
132,Norway,coal_i,2005,0.0,0.0
133,Norway,coal_i,2010,0.0,0.0
134,Norway,coal_i,2015,0.0,0.0
135,Norway,coal_i,2020,0.0,0.0
136,Norway,coal_i,2025,0.0,0.0
137,Norway,coal_i,2030,0.0,0.0
138,Norway,coal_i,2035,0.0,0.0
139,Norway,coal_i,2040,0.0,0.0
140,Norway,coal_i,2045,0.0,0.0
141,Norway,coal_i,2050,0.0,0.0
142,Norway,coal_i,2055,0.0,0.0
143,Norway,coal_i,2060,0.0,0.0
144,Norway,coal_i,2065,0.34923622,0.0
145,Norway,coal_i,2070,0.014036355,0.0
146,Norway,gas_cc,1995,0.0,0.0
147,Norway,gas_cc,2000,0.0,0.0
148,Norway,gas_cc,2005,0.0,0.0
149,Norway,gas_cc,2010,0.0,0.0
150,Norway,gas_cc,2015,0.0,0.0
151,Norway,gas_cc,2020,3.924953,0.0
152,Norway,gas_cc,2025,0.90725464,0.0
153,Norway,gas_cc,2030,0.03574376,0.0
154,Norway,gas_cc,2035,0.0,0.0
155,Norway,gas_cc,2040,1.3248861,0.0
156,Norway,gas_cc,2045,0.0,0.0
157,Norway,gas_cc,2050,4.6836767,0.0
158,Norway,gas_cc,2055,13.955693,0.0
159,Norway,gas_cc,2060,0.03574376,0.0
160,Norway,gas_cc,2065,0.0,0.0
161,Norway,gas_cc,2070,20.0,0.0
162,Norway,gas_cc_ccs,2020,0.0,0.0
163,Norway,gas_cc_ccs,2025,0.0,0.0
164,Norway,gas_cc_ccs,2030,0.0,0.0
165,Norway,gas_cc_ccs,2035,0.0,0.0
166,Norway,gas_cc_ccs,2040,0.0,0.0
167,Norway,gas_cc_ccs,2045,0.0,0.0
168,Norway,gas_cc_ccs,2050,0.0,0.0
169,Norway,gas_cc_ccs,2055,0.0,0.0
170,Norway,gas_cc_ccs,2060,0.0,0.0
171,Norway,gas_cc_ccs,2065,0.0,0.0
172,Norway,gas_cc_ccs,2070,20.0,0.0
173,Norway,gas_ct,1990,0.0,0.0
174,Norway,gas_ct,1995,0.0,0.0
175,Norway,gas_ct,2000,0.0,0.0
176,Norway,gas_ct,2005,0.0,0.0
177,Norway,gas_ct,2010,0.0,0.0
178,Norway,gas_ct,2015,0.0,0.0
179,Norway,gas_ct,2020,0.0,0.0
180,Norway,gas_ct,2025,0.0,0.0
181,Norway,gas_ct,2030,0.0,0.0
182,Norway,gas_ct,2035,0.0,0.0
183,Norway,gas_ct,2040,0.0,0.0
184,Norway,gas_ct,2045,0.0,0.0
185,Norway,gas_ct,2050,0.0,0.0
186,Norway,gas_ct,2055,0.0,0.0
187,Norway,gas_ct,2060,0.0,0.0
188,Norway,gas_ct,2065,0.0,0.0
189,Norway,gas_ct,2070,20.0,0.0
190,Norway,gas_ppl,1990,0.0,0.0
191,Norway,gas_ppl,1995,0.0,0.0
192,Norway,gas_ppl,2000,0.0,0.0
193,Norway,gas_ppl,2005,0.0,0.0
194,Norway,gas_ppl,2010,0.0,0.0
195,Norway,gas_ppl,2015,0.0,0.0
196,Norway,gas_ppl,2020,0.0,0.0
197,Norway,gas_ppl,2025,0.0,0.0
198,Norway,gas_ppl,2030,0.0,0.0
199,Norway,gas_ppl,2035,0.0,0.0
200,Norway,gas_ppl,2040,0.0,0.0
201,Norway,gas_ppl,2045,0.0,0.0
202,Norway,gas_ppl,2050,0.0,0.0
203,Norway,gas_ppl,2055,0.0,0.0
204,Norway,gas_ppl,2060,0.0,0.0
205,Norway,gas_ppl,2065,0.0,0.0
206,Norway,gas_ppl,2070,20.0,0.0
207,Norway,gas_t_d,1990,0.0,0.0
208,Norway,gas_t_d,1995,0.0,0.0
209,Norway,gas_t_d,2000,0.0,0.0
210,Norway,gas_t_d,2005,0.0,0.0
211,Norway,gas_t_d,2010,0.0,0.0
212,Norway,gas_t_d,2015,0.0,0.0
213,Norway,gas_t_d,2020,0.0,0.0
214,Norway,gas_t_d,2025,0.0,0.0
215,Norway,gas_t_d,2030,0.0,0.0
216,Norway,gas_t_d,2035,0.0,0.0
217,Norway,gas_t_d,2040,0.0,0.0
218,Norway,gas_t_d,2045,0.0,0.0
219,Norway,gas_t_d,2050,0.0,0.0
220,Norway,gas_t_d,2055,0.0,0.0
221,Norway,gas_t_d,2060,0.0,0.0
222,Norway,gas_t_d,2065,0.0,0.0
