Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
307;Nomeland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Iveland;35;01.01.1920;01.01.1920;28.70;172.58;20,39;181,19;0,043;2;021.A82
112;Glomfjord;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;30.06.1920;30.06.1920;20.00;94.85;463,5;6;0,926;4;160.A1
372;Skar;Kraftverk;NEAS AS;960684737;Møre og Romsdal;15;Tingvoll;60;09.12.1920;09.12.1920;2.90;13.51;148,8;2,3;0,35;3;111.4B
1490;Hammerstrand;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Skaun;29;31.12.1920;31.12.1920;0.72;2.20;175;0,7;;3;122.A1
28;Bjørkåsen;Kraftverk;BALLANGEN ENERGI AS;971592117;Nordland;18;Ballangen;54;01.01.1921;20.09.1987;3.68;21.66;82,5;6,2;0,175;4;173.3Z
52;Børtveit;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Stord;21;01.01.1921;01.01.1921;2.40;9.95;356,39;0,8;0,833;2;044.2Z
76;Embretsfoss;Kraftverk;EMBRETSFOSSKRAFTVERKENE DA;996257959;Buskerud;6;Modum;23;01.01.1921;01.01.1954;71.00;335.00;16,3;475;0,042;1;012.C1
1200;Simsfossen;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Skaun;29;01.01.1921;01.01.1921;0.35;1.50;17;2,54;0,039;3;122.1A
416;Svelgen I;Kraftverk;SVELGEN KRAFT AS;986530649;Sogn og Fjordane;14;Bremanger;38;01.01.1921;01.01.1921;9.10;52.65;223;5;0,506;3;086.2Z
447;Toklev;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Siljan;11;01.01.1921;01.01.1921;4.80;13.56;80,59;7,82;0,135;2;015.4G
476;Ulvik I;Kraftverk;HARDANGER ENERGI AS;983502601;Hordaland;12;Ulvik;33;01.01.1921;01.01.1921;1.40;6.67;60;3,19;0,122;5;051.3Z
455;Tryland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Lindesnes;29;02.02.1921;02.02.1921;5.40;30.07;133;4,75;0,259;2;023.B21
349;Rånåsfoss;Kraftverk;GLOMMA KRAFTPRODUKSJON AS;987287608;Akershus;2;Sørum;26;15.06.1921;15.06.1921;128.40;583.00;12,3;1215;0,029;1;002.D32
867;Børter 2;Kraftverk;BØRTER E VERK ANS;970458883;Akershus;2;Enebakk;29;01.01.1922;01.01.1922;0.25;1.00;;;;1;002.C4B
125;Hakavik;Kraftverk;STATKRAFT ENERGI AS;987059729;Buskerud;6;Øvre Eiker;24;01.01.1922;01.01.1922;7.00;26.20;391,5;2,4;0,734;1;012.AB52
374;Skarsfjord;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Tromsø;2;01.01.1922;01.01.1922;4.00;20.61;152,1;3;0,37;4;200.5D
1380;Eidsfossen;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Hemne;11;31.12.1922;31.12.1922;0.40;1.10;31;2;;3;119.1C
430;Tafjord 1;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;01.01.1923;19.06.1989;25.00;68.28;157;20,3;0,342;3;099.A
