Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
1203;Tømmerdal;Kraftverk;SMÅKRAFT AS;984616155;Trøndelag;50;Indre Fosen;54;15.02.2002;15.02.2002;0.99;3.50;;;;3;131.62Z
782;Juvfossen;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Stranda;25;17.04.2002;17.04.2002;7.00;25.06;172;4,8;0,405;3;098.3Z
1034;Juvet;Kraftverk;JUVET KRAFT AS;879757762;Telemark;8;Fyresdal;31;24.05.2002;24.05.2002;0.45;1.70;;;;2;019.DCAA
790;Lindland;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Sokndal;11;11.10.2002;11.10.2002;8.10;38.00;106;10;0,248;2;026.4B22
794;Stegaros;Kraftverk;TINN ENERGI AS;982173329;Telemark;8;Tinn;26;25.11.2002;25.11.2002;2.40;12.26;37;12;0,056;2;016.G5Z
787;Ågjølet;Kraftverk;ÅGJØLET KRAFTVERK AS;983600514;Sogn og Fjordane;14;Jølster;31;03.12.2002;03.12.2002;1.34;6.50;49;3,2;0,117;3;084.E4Z
1234;Buset;Kraftverk;BUSET KRAFT AS;883862732;Møre og Romsdal;15;Ørsta;20;05.12.2002;05.12.2002;1.20;4.91;;;;3;095.3BA
26;Bjølvo;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Kvam;38;01.01.2003;01.01.2003;99.20;428.22;870;13;2,11;5;052.4Z
1093;Flatråker;Kraftverk;;;Hordaland;12;Tysnes;23;01.01.2003;01.01.2003;0.90;3.60;;;;2;054.6B
1047;Foss;Kraftverk;FOSS KRAFT JOHAN HJORTELAND;985567492;Rogaland;11;Hjelmeland;33;01.01.2003;01.01.2003;0.11;0.70;;;;2;035.6A
1548;Frilsjøen;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Meldal;23;01.01.2003;01.01.2003;0.07;0.45;167;;;3;121.B2B
813;Helganes;Kraftverk;HELGANES KRAFTVERK Tore Eide;937084129;Rogaland;11;Suldal;34;01.01.2003;01.01.2003;3.47;9.24;208;1,8;0,432;2;036.B11
949;Hellevang;Kraftverk;;;Sogn og Fjordane;14;Førde;32;01.01.2003;01.01.2003;0.18;0.30;;;;3;084.52Z
1038;Hovuduk;Kraftverk;HOVUDUK KRAFTVERK AS;889553782;Telemark;8;Seljord;28;01.01.2003;01.01.2003;0.45;1.10;208;0,16;;2;016.CBAB
1319;Hyelva;Kraftverk;O DRAGE AS;984892780;Sogn og Fjordane;14;Naustdal;33;01.01.2003;01.01.2003;1.33;4.40;;;;3;084.7B4Z
951;Jølstraholmen;Kraftverk;;;Sogn og Fjordane;14;Jølster;31;01.01.2003;01.01.2003;0.14;1.11;;;;3;084.D6
1085;Kaldåni;Kraftverk;MÅKESTAD LARS;969164213;Hordaland;12;Ullensvang;31;01.01.2003;01.01.2003;0.05;0.30;190;0,011;;5;48.21
1042;Kvennhølet;Kraftverk;;;Buskerud;6;Rollag;32;01.01.2003;01.01.2003;0.01;0.06;;;;1;015.G3
862;Kvåmm;Kraftverk;;;Telemark;8;Vinje;34;01.01.2003;01.01.2003;0.02;0.05;;;;2;016.BG12
1000;Madalen;Kraftverk;MADALEN MIKROKRAFTVERK AS;921140479;Hordaland;12;Kvinnherad;24;01.01.2003;01.01.2003;0.12;0.56;;;;2;042.93C
1012;Molla;Kraftverk;;;Rogaland;11;Sauda;35;01.01.2003;01.01.2003;0.44;1.47;130;;;2;37.111
1084;Russagjela;Kraftverk;INGE ASKELAND;955280334;Hordaland;12;Granvin;34;01.01.2003;01.01.2003;0.04;0.20;;;;5;052.1B
890;Rørtveit;Kraftverk;HAUGSLAND JOHAN;969807866;Rogaland;11;Suldal;34;01.01.2003;01.01.2003;0.07;0.60;;;;2;035.7B4
1140;Skibeli;Kraftverk;;;Vest-Agder;10;Sirdal;46;01.01.2003;01.01.2003;0.03;0.21;;;;2;026.D1A20
1211;Styggtjønna;Kraftverk;CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB;915640850;Trøndelag;50;Meldal;23;01.01.2003;01.01.2003;0.05;0.24;;;;3;121.B2B
996;Svanedal;Kraftverk;DESCONDA AS;975966798;Rogaland;11;Eigersund;1;01.01.2003;01.01.2003;0.40;1.60;9;5;0,022;2;27.31
871;Sværa;Kraftverk;;;Sogn og Fjordane;14;Luster;26;01.01.2003;01.01.2003;0.02;0.14;;;;5;075.4Z
993;Sørmeland;Kraftverk;;;Trøndelag;50;Osen;20;01.01.2003;01.01.2003;0.01;0.02;;;;3;137.2A1
1219;Vada;Kraftverk;VADAKRAFT DA;977571278;Trøndelag;50;Verran;39;01.01.2003;01.01.2003;0.35;1.40;127,5;;;3;129.42
1013;Vanvik;Kraftverk;VANVIK KRAFTLAG;884171792;Rogaland;11;Suldal;34;01.01.2003;01.01.2003;0.27;1.08;;;;2;36.32
921;Våge;Kraftverk;;;Møre og Romsdal;15;Rauma;39;01.01.2003;01.01.2003;0.10;0.46;;;;3;102.72Z
1274;Ytteråa;Kraftverk;YTTERÅA KRAFTVERK AS;980340775;Trøndelag;50;Høylandet;46;01.01.2003;01.01.2003;0.30;1.20;62;0,75;0,111;4;142.31Z
891;Østerhus;Kraftverk;;;Rogaland;11;Suldal;34;01.01.2003;01.01.2003;0.02;0.03;;;;2;035.7C
791;Forsland;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Leirfjord;22;03.03.2003;03.03.2003;7.00;28.64;80;10;0,19;4;153.2Z
797;Stølskraft;Kraftverk;STØLSKRAFT AS;984016336;Rogaland;11;Bjerkreim;14;21.03.2003;21.03.2003;1.34;9.00;106;1,21;0,275;2;027.D6B
792;Befring;Kraftverk;BEFRING KRAFT AS;984512481;Sogn og Fjordane;14;Jølster;31;07.04.2003;07.04.2003;4.50;21.30;281;1,9;0,658;3;087.E
1144;Koparvike;Kraftverk;KOPARVIKE KRAFT AS;984867301;Oppland;5;Sør-Aurdal;40;09.09.2003;09.09.2003;0.50;4.20;5,1;12,7;;1;012.J20
795;Vedeld;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;01.10.2003;01.10.2003;3.90;13.57;133;1,1;0,637;3;097.11Z
798;Vikeså;Kraftverk;VIKESÅ KRAFTVERK AS;978657222;Rogaland;11;Bjerkreim;14;06.10.2003;06.10.2003;4.40;16.40;106,8;4,5;0,253;2;027.BZ
1171;Nedre Kivfallet;Kraftverk;ØVERGAARD ENERGI AS;997893905;Hedmark;4;Rendalen;32;05.11.2003;05.11.2003;0.93;4.00;165;0,7;0,369;1;002.M3
1160;Arstadfossen;Kraftverk;ARSTADFOSSEN KRAFTVERK AS;984735545;Nordland;18;Beiarn;39;01.12.2003;01.12.2003;1.00;4.00;;;;4;161.AA0
800;Riksheimdal;Kraftverk;SYKKYLVEN ENERGI AS;979918224;Møre og Romsdal;15;Sykkylven;28;19.12.2003;19.12.2003;4.50;18.48;395;1,3;0,961;3;097.6Z
1020;Skogkraft;Kraftverk;;;Rogaland;11;Vindafjord;60;31.12.2003;31.12.2003;0.11;0.45;;;;2;39.23
1011;Bjergaelva;Kraftverk;BJERGAELVA KRAFT AS;880419552;Rogaland;11;Suldal;34;01.01.2004;01.01.2004;0.65;4.00;;;;2;36.32
1142;Brufjell;Kraftverk;BRUFJELL ENERGI OG EIENDOM AS;989511890;Aust-Agder;9;Iveland;35;01.01.2004;01.01.2004;0.08;0.50;;;;2;020.BAC
872;Døsen;Kraftverk;;;Sogn og Fjordane;14;Luster;26;01.01.2004;01.01.2004;0.09;0.70;;;;5;075.6A
1048;Døvik;Kraftverk;DØVIK KRAFT AS;985904057;Rogaland;11;Strand;30;01.01.2004;01.01.2004;0.80;5.00;;;;2;33.13
900;Grønhovdelva;Kraftverk;ANDERS BJØRNSRUD;981187725;Buskerud;6;Sigdal;21;01.01.2004;01.01.2004;0.07;0.50;;;;1;012.BD2Z
882;Grøtte;Kraftverk;GRØTTE KRAFTVERK Thea Mørk;986116451;Buskerud;6;Lier;26;01.01.2004;01.01.2004;0.04;0.06;;;;1;011.A0
1135;Heldøla;Kraftverk;;;Aust-Agder;9;Froland;19;01.01.2004;01.01.2004;0.31;1.34;;;;2;019.C3
1293;Hopla;Kraftverk;;;Trøndelag;50;Levanger;37;01.01.2004;01.01.2004;0.01;0.05;;;;3;125.4A
1108;Høglielva Kraftverk;Kraftverk;;;Nordland;18;Vefsn;24;01.01.2004;01.01.2004;0.02;0.07;;;;4;152.BZ
879;Jordal;Kraftverk;JORDALSKRAFT AS;984992807;Møre og Romsdal;15;Sunndal;63;01.01.2004;01.01.2004;0.99;4.20;;;;3;109.3Z
1126;Kilsti;Kraftverk;;;Møre og Romsdal;15;Norddal;24;01.01.2004;01.01.2004;0.02;0.05;;;;3;099.1A
816;Kjetland;Kraftverk;KJETLAND KRAFT AS;982066948;Hordaland;12;Masfjorden;66;01.01.2004;01.01.2004;1.50;5.00;127;1,15;0,301;5;067.2A
1071;Kvemma minikraftverk;Kraftverk;;;Sogn og Fjordane;14;Lærdal;22;01.01.2004;01.01.2004;0.23;1.10;;;;5;073.AAB
1314;Kvennhusbekken;Kraftverk;;;Trøndelag;50;Stjørdal;35;01.01.2004;01.01.2004;0.00;0.02;;;;3;124.A2Z
1214;Lien;Kraftverk;;;Telemark;8;Kragerø;15;01.01.2004;01.01.2004;0.00;0.01;;;;2;17.31
952;Neselva;Kraftverk;NESELVA KRAFTVERK AS;985744025;Sogn og Fjordane;14;Førde;32;01.01.2004;01.01.2004;0.27;1.30;;;;3;8.30E+01
937;Nøringset;Kraftverk;ENERVA AS;983515584;Møre og Romsdal;15;Sula;31;01.01.2004;01.01.2004;0.20;0.60;;;;3;101.43
883;Ole Kristian Sylling;Kraftverk;SOLBERG GÅRD OLE KRISTIAN SYLLING;969925672;Buskerud;6;Lier;26;01.01.2004;01.01.2004;0.02;0.10;176;0,016;0,26;1;011.B
936;Rovde;Kraftverk;;;Møre og Romsdal;15;Vanylven;11;01.01.2004;01.01.2004;0.05;0.10;;;;3;093.4A1
1271;Røssåga Mikrokraftverk;Kraftverk;;;Nordland;18;Hemnes;32;01.01.2004;01.01.2004;0.00;0.02;;;;4;155.C1
1103;Sakrisåga;Kraftverk;STORFORSHEI NATURKRAFT AS;985229244;Nordland;18;Rana;33;01.01.2004;01.01.2004;0.96;4.00;;;;4;156.D2B
896;Sireåne;Kraftverk;SIREÅNE KRAFT DA;985982015;Buskerud;6;Ål;19;01.01.2004;01.01.2004;0.08;0.21;;;;5;012.CE30
1257;Suvdal (Buvasselva);Kraftverk;DRANGEDAL EVERK KF;971028440;Telemark;8;Drangedal;17;01.01.2004;01.01.2004;1.35;5.00;97,2;1,7;0,221;2;017.FA0
1256;Suvdal (Kleppsvatn);Kraftverk;DRANGEDAL EVERK KF;971028440;Telemark;8;Drangedal;17;01.01.2004;01.01.2004;1.50;5.00;101,8;1,7;0,229;2;017.FA0
1109;Sæterstad;Kraftverk;KASTNES KNUT;970565140;Nordland;18;Hattfjelldal;26;01.01.2004;01.01.2004;0.04;0.13;;;;4;155.D8
919;Tverå;Kraftverk;TVERÅKRAFT AS;985927251;Møre og Romsdal;15;Rauma;39;01.01.2004;01.01.2004;0.96;4.60;140;;;3;104.1Z
815;Tyin;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Sogn og Fjordane;14;Årdal;24;01.01.2004;01.01.2004;374.00;1449.73;1040;40;2,597;5;074.CA0
1043;Verja;Kraftverk;VERJA KRAFT SA;986141804;Buskerud;6;Rollag;32;01.01.2004;01.01.2004;0.24;1.91;;;;1;015.GA0
1119;Vollselva;Kraftverk;;;Trøndelag;50;Stjørdal;35;01.01.2004;01.01.2004;0.01;0.02;;;;3;124.2A
892;Øystad Mikrokraftverk;Kraftverk;;;Rogaland;11;Suldal;34;01.01.2004;01.01.2004;0.08;0.32;;;;2;036.B1A0
998;Åvedal;Kraftverk;;;Rogaland;11;Lund;12;01.01.2004;01.01.2004;0.25;0.90;;;;2;026.B2D
1225;Isvatn;Pumpe;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Rana;33;01.01.2004;01.01.2004;-0.10;0.00;;;;4;157.1B5A
824;Vatn 1012;Pumpe;STATKRAFT ENERGI AS;987059729;Rogaland;11;Suldal;34;01.01.2004;01.01.2004;-0.56;-1.30;0;0,83;;2;035.CA
793;Austdøla;Kraftverk;AUSTDØLA KRAFT AS;985369534;Hordaland;12;Odda;28;09.01.2004;09.01.2004;1.30;6.00;147;1,1;0,328;2;048.DA
796;Horpedal;Kraftverk;HORPEDAL KRAFT AS;985226520;Sogn og Fjordane;14;Sogndal;20;13.01.2004;13.01.2004;2.50;14.20;174;1,87;0,371;5;078.2A1Z
1161;Kjeldåga;Kraftverk;KJELDÅGA MINIKRAFTVERK STIAN KREKLING;921172214;Nordland;18;Beiarn;39;26.01.2004;26.01.2004;0.47;1.60;132;0,45;0,29;4;161.F22
823;Sagevikelv;Kraftverk;SAGEVIKELV KRAFT AS;985384045;Sogn og Fjordane;14;Fjaler;29;01.02.2004;01.02.2004;4.45;17.70;306,5;1,9;0,673;3;083.1Z
889;Kleivane;Kraftverk;KLEIVANE KRAFT AS;985638144;Rogaland;11;Suldal;34;02.02.2004;02.02.2004;0.99;3.90;;;;2;036.A1A0
1145;Fønhus;Kraftverk;FØNHUS KRAFT AS;886062052;Oppland;5;Sør-Aurdal;40;07.04.2004;07.04.2004;0.62;2.50;355;0,26;;1;012.H52
807;Sandal og Fossheim;Kraftverk;SANDAL & FOSSHEIM KRAFT AS;985569851;Sogn og Fjordane;14;Gloppen;45;21.04.2004;21.04.2004;2.70;13.30;63;5,4;0,139;3;087.CB2Z
812;Kongsfoss;Kraftverk;MODUM KRAFTPRODUKSJON KF;971030674;Buskerud;6;Modum;23;01.05.2004;01.05.2004;2.90;12.68;14,65;22,5;0,036;1;012.BZ
803;Neselva;Kraftverk;YTRE KANDAL KRAFT AS;984550510;Sogn og Fjordane;14;Gloppen;45;27.05.2004;27.05.2004;4.90;17.63;132;4,4;0,309;3;087.B120
1618;Ortnevik;Kraftverk;SMÅKRAFT AS;984616155;Sogn og Fjordane;14;Høyanger;16;01.06.2004;01.06.2004;1.20;5.50;45;3,6;0,093;5;070.2A0
1039;Tveiten;Kraftverk;TVEITEN KRAFT AS;987572930;Telemark;8;Seljord;28;03.06.2004;03.06.2004;0.04;0.16;72;0,08;0,655;2;016.CBA0
814;Bjørgum;Kraftverk;SMÅKRAFT AS;984616155;Aust-Agder;9;Valle;40;01.09.2004;01.09.2004;5.50;17.56;295;2,3;0,663;2;021.E5A
817;Arneselv;Kraftverk;BALLANGEN ENERGI AS;971592117;Nordland;18;Ballangen;54;08.09.2004;08.09.2004;2.40;8.00;412,8;0,7;0,952;4;173.2Z
1141;Brekkebekken;Kraftverk;ERLEND SAMSLÅTT;969790521;Vest-Agder;10;Sirdal;46;09.09.2004;09.09.2004;0.47;1.21;;;;2;026.DAB
1049;Rørheim;Kraftverk;ARNE RØRHEIM;969817705;Rogaland;11;Hjelmeland;33;15.10.2004;15.10.2004;0.10;0.40;;;;2;34.1
918;Unhjemskraft;Kraftverk;UNHJEMKRAFT AS;986604014;Møre og Romsdal;15;Rauma;39;22.10.2004;22.10.2004;0.90;3.50;370;;;3;103.4B
810;Nedre Bersåvatn;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Odda;28;09.11.2004;09.11.2004;4.10;20.03;65;7,5;0,152;2;049.A4B1
809;Øvre Bersåvatn;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Ullensvang;31;09.11.2004;09.11.2004;5.50;21.56;159;4;0,382;2;049.A4C
1249;Røylandsfoss;Kraftverk;SØRKRAFT AS;985479836;Vest-Agder;10;Kvinesdal;37;11.11.2004;11.11.2004;1.33;4.20;40;3,8;0,097;2;025.AC
898;Bjordal;Kraftverk;JENS DOMINICUS NAGELL BJORDAL;985035652;Rogaland;11;Vindafjord;60;18.11.2004;18.11.2004;0.10;0.60;;;;2;041.21Z
834;Hugla;Kraftverk;HUGLA KRAFT AS;986005226;Sogn og Fjordane;14;Vik;17;29.11.2004;29.11.2004;1.35;5.50;142,5;1,17;0,312;5;070.AZ
1226;Gaudøla;Kraftverk;GAUDALSKRAFT AS;986015205;Møre og Romsdal;15;Sunndal;63;02.12.2004;02.12.2004;2.00;5.00;159;1,8;0,309;3;109.4AZ
840;Skjåstad;Kraftverk;SKJÅSTAD KRAFTVERK AS;985964327;Møre og Romsdal;15;Ørsta;20;16.12.2004;16.12.2004;2.00;6.50;226;1,1;0,505;3;097.2C
831;Storebekk;Kraftverk;STOREBEKK KRAFTVERK AS;986152482;Aust-Agder;9;Evje og Hornnes;37;28.12.2004;28.12.2004;2.00;6.50;280;0,88;0,631;2;021.BD
986;Aspenes;Kraftverk;ASPENES MIKROKRAFT J,M. Aspenes;988625035;Hordaland;12;Os i Hordaland;43;01.01.2005;01.01.2005;0.06;0.22;;;;5;55.6
1260;Bjoråi;Kraftverk;;;Telemark;8;Fyresdal;31;01.01.2005;01.01.2005;0.03;0.18;;;;2;019.DCC
1262;Blåsvagrova;Kraftverk;;;Sogn og Fjordane;14;Førde;32;01.01.2005;01.01.2005;0.02;0.07;;;;3;083.F
1068;Deilbekken;Kraftverk;;;Telemark;8;Drangedal;17;01.01.2005;01.01.2005;0.03;0.11;;;;2;017.FA0
1167;Ellingsbekken;Kraftverk;KIÆR MYKLEBY Anders Kiær;961272432;Hedmark;4;Stor-Elvdal;30;01.01.2005;01.01.2005;0.04;0.08;24;0,2;;1;002.K6A2
1004;Friheim;Kraftverk;KURT EIVIND MILJETEIG;969627604;Hordaland;12;Kvinnherad;24;01.01.2005;01.01.2005;0.03;0.13;;;;2;045.2Z
1311;Hammerbekken;Kraftverk;;;Trøndelag;50;Skaun;29;01.01.2005;01.01.2005;0.05;0.10;;;;3;122.21Z
1070;Helveteskraft;Kraftverk;SÆTER BJØRN;969087251;Buskerud;6;Kongsberg;4;01.01.2005;01.01.2005;0.03;0.09;;;;1;015.C7
841;Hestdal;Kraftverk;HESTDAL E-VERK AS;884198992;Trøndelag;50;Indre Fosen;54;01.01.2005;01.01.2005;1.10;4.80;120;1,1;0,278;3;131.7Z
1266;Holmane;Kraftverk;HOLMANE KRAFTVERK ANS;987031115;Rogaland;11;Gjesdal;22;01.01.2005;01.01.2005;0.08;0.30;220;;;2;030.2A2A1
1264;Kanalen;Kraftverk;;;Sogn og Fjordane;14;Gaular;30;01.01.2005;01.01.2005;0.01;0.03;;;;3;083.C4
1903;Kvernhusdalsbekken;Kraftverk;MYKLAND OLE ALBERT;974401118;Aust-Agder;9;Iveland;35;01.01.2005;01.01.2005;0.10;0.50;;;;2;021.A72
895;Mehammer Mikrokraftverk II;Kraftverk;;;Hordaland;12;Stord;21;01.01.2005;01.01.2005;0.02;0.03;;;;2;44.13
1315;Mosbekken;Kraftverk;;;Trøndelag;50;Skaun;29;01.01.2005;01.01.2005;0.01;0.03;;;;3;122.1C
1044;Salen Mikrokraftverk;Kraftverk;;;Nordland;18;Lurøy;34;01.01.2005;01.01.2005;0.01;0.02;;;;4;157.7
1280;Skjæveland;Kraftverk;;;Rogaland;11;Bjerkreim;14;01.01.2005;01.01.2005;0.10;0.56;;;;2;027.BA
1073;Søtvik;Kraftverk;;;Trøndelag;50;Bjugn;17;01.01.2005;01.01.2005;0.09;0.20;;;;3;133.32A
1316;Vuttudal;Kraftverk;JOHAN VUTTUDAL;971379367;Trøndelag;50;Snillfjord;12;01.01.2005;01.01.2005;0.09;0.50;;;;3;119.41Z
837;Urlandåga;Kraftverk;SMÅKRAFT AS;984616155;Nordland;18;Hemnes;32;10.01.2005;10.01.2005;1.60;6.60;240;0,75;0,592;4;156.21Z
913;Jordalen;Kraftverk;JORDALEN KRAFTLAG AS;985704562;Hordaland;12;Voss;35;26.01.2005;26.01.2005;0.45;1.80;;;;5;071.AAZ
827;Nygard;Pumpekraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Modalen;52;30.01.2005;30.01.2005;56.00;81.56;450;17;0,934;5;064.ABZ
839;Nydal;Kraftverk;NYDAL KRAFT AS;986598057;Sogn og Fjordane;14;Førde;32;07.02.2005;07.02.2005;1.44;7.30;190;0,98;1,505;3;084.D
1228;Kvitefella;Kraftverk;KVITEFELLA KRAFT AS;986616535;Sogn og Fjordane;14;Gloppen;45;09.02.2005;09.02.2005;1.30;5.90;203;0,8;0,451;3;087.11Z
825;Rivedal;Kraftverk;RIVEDAL KRAFTVERK AS;986159401;Sogn og Fjordane;14;Askvoll;28;17.02.2005;17.02.2005;3.20;15.00;235;1,9;0,468;3;083.4Z
901;Strandeelva;Kraftverk;JONN RINDEN;969161192;Buskerud;6;Sigdal;21;20.02.2005;20.02.2005;0.37;1.10;;;;1;012.BB42
958;Utigardselva;Kraftverk;UTIGARDSELVA DA;986904204;Sogn og Fjordane;14;Stryn;49;24.03.2005;24.03.2005;0.10;0.50;;;;3;87.51
830;Grytfossen;Kraftverk;SMÅKRAFT AS;984616155;Oppland;5;Nordre Land;38;07.04.2005;07.04.2005;1.13;3.30;52;2,8;0,111;1;012.EDAAZ
881;Bjordøla;Kraftverk;NORDBØ OLAV S;970260196;Telemark;8;Hjartdal;27;11.04.2005;11.04.2005;0.13;0.33;25;0,7;0,052;2;016.EDC
1083;Erdal;Kraftverk;ERDAL MINIKRAFT AS;986364366;Hordaland;12;Eidfjord;32;02.05.2005;02.05.2005;0.73;5.50;132;0,7;0,288;5;050.3A
849;Geisdøla;Kraftverk;GEISDØLA KRAFTVERK AS;987615338;Sogn og Fjordane;14;Luster;26;03.05.2005;03.05.2005;1.28;4.00;79;2,05;0,173;5;076.D5Z
1147;Budalselva;Kraftverk;MODALEN KRAFTLAG SA;877051412;Hordaland;12;Modalen;52;10.05.2005;10.05.2005;0.30;1.60;;;;5;064.A2Z
1247;Brekkefossen;Kraftverk;HOPE ENERGI AS;985564655;Sogn og Fjordane;14;Gloppen;45;23.05.2005;23.05.2005;3.90;18.01;68;7;0,163;3;086.8A
835;Joka;Kraftverk;JOKA KRAFT AS;986243992;Sogn og Fjordane;14;Vik;17;23.05.2005;23.05.2005;1.50;7.80;66;3;0,198;5;071.2Z
838;Straumane;Kraftverk;SVELGEN KRAFT AS;986530649;Sogn og Fjordane;14;Bremanger;38;29.05.2005;29.05.2005;1.45;7.00;38;4,8;0,084;3;086.2Z
1100;Oterbekken;Kraftverk;SOLBU TERJE;970068597;Nordland;18;Rana;33;03.06.2005;03.06.2005;0.30;0.80;157,5;0,28;0,298;4;156.B0
1005;Botnaelva;Kraftverk;BOTNAELVA KRAFTVERK AS;821091152;Hordaland;12;Kvinnherad;24;07.06.2005;07.06.2005;0.40;1.20;;;;2;045.31Z
828;Øyberget;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Skjåk;13;08.06.2005;08.06.2005;99.50;377.28;149,6;75;0,369;3;002.DHE0
1240;Virak;Kraftverk;VIRAK KRAFT AS;982100135;Vest-Agder;10;Sirdal;46;12.06.2005;12.06.2005;1.40;4.60;80;2,05;0,19;2;026.D41
836;Dale;Kraftverk;DALE KRAFT AS;919751134;Sogn og Fjordane;14;Balestrand;18;01.07.2005;01.07.2005;2.95;12.00;265;1,325;0,618;5;078.62Z
893;Myrbekk;Kraftverk;ARILD VAAGE;969624230;Rogaland;11;Suldal;34;01.08.2005;01.08.2005;0.20;0.80;;;;2;036.B24
1077;Hagaelva;Kraftverk;HAGAELVA ENERGI AS;885804942;Trøndelag;50;Hemne;11;15.08.2005;15.08.2005;0.84;2.30;;;;3;119.2A
832;Tveiteåno;Kraftverk;TVEITEÅNO KRAFTVERK AS;986950508;Rogaland;11;Suldal;34;08.09.2005;08.09.2005;1.45;4.50;331;0,46;0,785;2;036.B2
92;Follafoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Verran;39;26.09.2005;26.09.2005;48.10;193.02;175,3;29;0,452;3;129.A
1075;Tapstad;Kraftverk;TAPSTAD KRAFTVERK Jantti;987561858;Nordland;18;Bodø;4;19.10.2005;19.10.2005;0.09;0.66;;;;4;162.8
1105;Strandjordselva;Kraftverk;STORFORSHEI NATURKRAFT AS;985229244;Nordland;18;Rana;33;31.10.2005;31.10.2005;0.75;2.50;211;0,45;0,463;4;1.56E+02
1231;Vindedal;Kraftverk;VINDEDAL KRAFTVERK AS;986932283;Sogn og Fjordane;14;Lærdal;22;10.11.2005;10.11.2005;5.40;15.00;300;2;0,681;5;073.1Z
1254;Tjøstheim;Kraftverk;TJØSTHEIM KRAFT AS;986919708;Rogaland;11;Suldal;34;25.11.2005;25.11.2005;4.16;12.00;405;1,2;0,963;2;036.A3
829;Framruste;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Skjåk;13;07.12.2005;07.12.2005;75.00;303.92;325,6;27;0,772;3;002.DHFA
1229;Ufysja;Kraftverk;UFYSJA KRAFTVERK AS;987598077;Buskerud;6;Hol;20;15.12.2005;15.12.2005;1.50;6.00;163;1,2;0,347;5;015.MHZ
1238;Trandal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Ørsta;20;20.12.2005;20.12.2005;8.00;26.10;442;2;0,972;3;097.5Z
1294;Byaelva;Kraftverk;BYAKRAFT AS;984361521;Trøndelag;50;Levanger;37;01.01.2006;01.01.2006;0.09;0.40;28;0,62;0,039;3;126.3A
1312;Evenset;Kraftverk;;;Nordland;18;Bodø;4;01.01.2006;01.01.2006;0.08;0.33;;;;4;162.5
1358;Flaen Mølle;Kraftverk;;;Akershus;2;Hurdal;39;01.01.2006;01.01.2006;0.02;0.10;;;;1;002.DAC3
1701;Halle;Kraftverk;BRUNLANES HISTORIELAG;994516175;Vestfold;7;Larvik;12;01.01.2006;01.01.2006;0.02;0.11;10;0,31;0,017;2;015.5A
1131;Mone;Kraftverk;;;Aust-Agder;9;Birkenes;28;01.01.2006;01.01.2006;0.05;0.20;;;;2;020.A6
1235;Oftedal I;Kraftverk;SMÅKRAFT AS;984616155;Vest-Agder;10;Sirdal;46;01.01.2006;01.01.2006;3.00;13.30;265;1,4;0,595;2;026.D1A0
1698;Rogheien;Kraftverk;;;Rogaland;11;Gjesdal;22;01.01.2006;01.01.2006;0.15;0.60;;;;2;030.1E
935;Rønnestad;Kraftverk;JOSTEIN RØNNESTAD;984661436;Møre og Romsdal;15;Volda;19;01.01.2006;01.01.2006;0.02;0.03;;;;3;94.31
1218;Røyrvatn;Kraftverk;ISE PRODUKSJON RØYRVATN AS;914385172;Nordland;18;Sørfold;45;01.01.2006;01.01.2006;2.70;13.50;109;2,9;0,278;4;166.4C
1832;Selland;Kraftverk;SVEINUNG MEDÅS SELLAND;983895417;Hordaland;12;Granvin;34;01.01.2006;01.01.2006;0.02;0.06;100;0,024;0,231;5;052.1B
1466;Vallestadfossen;Kraftverk;VALLESTADFOSSEN KRAFTVERK AS;987318848;Sogn og Fjordane;14;Gaular;30;01.01.2006;01.01.2006;0.92;6.50;56;2;;3;083.D6
1241;Flatlandsåi;Kraftverk;VRÅDAL KRAFT AS;985780595;Telemark;8;Kviteseid;29;03.01.2006;03.01.2006;1.30;5.20;348;0,45;0,802;2;019.G
