,node,commodity,level,year,time,lvl,mrg
101,South Africa,gas,final,2070,year,205.82034,0.0
102,South Africa,gas,primary,2020,year,334.98877,0.0
103,South Africa,gas,primary,2030,year,440.51025,0.0
104,South Africa,gas,primary,2040,year,612.3936,0.0
105,South Africa,gas,primary,2050,year,892.3735,0.0
106,South Africa,gas,primary,2060,year,1348.4312,0.0
107,South Africa,gas,primary,2070,year,2091.301,0.0
108,South Africa,gas,secondary,2020,year,334.98877,0.0
109,South Africa,gas,secondary,2030,year,185.59982,0.0
110,South Africa,gas,secondary,2040,year,172.72008,0.0
111,South Africa,gas,secondary,2050,year,163.13748,0.0
112,South Africa,gas,secondary,2060,year,210.14006,0.0
113,South Africa,gas,secondary,2070,year,112.0614,0.0
114,South Africa,fueloil,final,2020,year,180.15608,0.0
115,South Africa,fueloil,final,2030,year,229.91486,0.0
116,South Africa,fueloil,final,2040,year,242.6406,0.0
117,South Africa,fueloil,final,2050,year,290.20917,0.0
118,South Africa,fueloil,final,2060,year,333.9385,0.0
119,South Africa,fueloil,final,2070,year,379.7032,0.0
120,South Africa,fueloil,secondary,2020,year,178.35452,0.0
121,South Africa,fueloil,secondary,2030,year,227.6157,0.0
122,South Africa,fueloil,secondary,2040,year,240.2142,0.0
123,South Africa,fueloil,secondary,2050,year,287.3071,0.0
124,South Africa,fueloil,secondary,2060,year,330.59915,0.0
125,South Africa,fueloil,secondary,2070,year,375.9062,0.0
126,South Africa,i_spec,useful,2020,year,1209.1975,0.0
127,South Africa,i_spec,useful,2030,year,561.2573,0.0
128,South Africa,i_spec,useful,2040,year,435.4235,0.0
129,South Africa,i_spec,useful,2050,year,557.4184,0.0
130,South Africa,i_spec,useful,2060,year,564.24335,0.0
131,South Africa,i_spec,useful,2070,year,446.85855,0.0
